Number,stockId,SerialNumber,ProductName,Quantity,Costprice,Price,Department,Category
4140,1021,6.16E+12,Sting red rush330 ml,0,1417,2000,sales,Drinks
4141,1021,7.46E+11,FOCUS HANDWASH LAVENDER500ml,0,4500,5500,sales,Uncategorised
4142,1024,8.68E+12,Deep fresh wipes 15,0,1200,1500,sales,Uncategorised
5140,0,8.69E+12,PAPILION COTTON BUDS 100PCS,0,4000,4500,sales,Uncategorised
5141,1,8.69E+12,PAPILION COTTON BUDS 200PCS,9,5000,6000,sales,Uncategorised
5142,2,8.70E+12,COMFORT LOVE  COTTON BUDS 300 PCS,3,6500,7500,sales,Uncategorised
6140,3,6.16E+12,LUCOZADE  BOOST 1LIT,1,7500,8500,sales,Drinks
7141,2002,6.16E+12,LAVITA 320ML,9,833,1000,sales,Drinks
7142,2003,6.16E+12,LUCOZADE 250ML BOTTLE,0,2250,2500,sales,Drinks
7144,2005,6.03E+12,AFRICA SPICES BEEF MASALA50G,10,2550,3000,sales,Spices
7145,2006,6.26E+12,AFRICA SPICES BLACK PEPPER50G,6,3000,3500,sales,Spices
7146,2007,6.80E+12,AFRICA SPICES CHICKEN MASALA 50G,4,2100,3500,sales,Spices
7147,2008,2.68E+12,AFRICA SPICES GARLIC 50G,7,2500,3000,sales,Spices
7148,2009,6.46E+12,AFRICA SPICES GINGER 50G,4,3083,3500,sales,Spices
7149,2010,6.26E+12,AFRICA SPICES MIXED 50G,6,2500,3000,sales,Spices
7150,2011,2.77E+12,AFRICA SPICES PILLAU 50G,4,3000,3500,sales,Spices
7153,2014,6.16E+12,BLUE BAND 250G,47,4172,4800,sales,Uncategorised
7154,2015,6.97E+12,boya key holder,0,2000,3000,sales,Uncategorised
7155,2016,6.16E+12,BABYJUNIORBATHINGBAR100G,0,1767,2500,sales,Uncategorised
7156,2017,6.16E+12,CAFE NOIR BISCUITS180G,17,1500,2200,sales,Uncategorised
7159,2021,8.69E+12,COLOTIS BABY WIPES 80PCS,0,6000,7000,sales,Uncategorised
7160,2022,8.69E+12,COLOTIS FLOWER WIPES 80PCS,0,6000,7000,sales,Uncategorised
7161,2023,6.16E+12,Corn flakes pro &Allan500g,6,14625,17000,sales,Uncategorised
7162,2024,9.00E+12,cussons baby gift pack blue,1,40667,47000,sales,Babies
7163,2025,6.16E+12,cussons baby gift pack pink,0,40667,47000,sales,Babies
7164,2026,88820286,cussons baby oil mild 100g,3,7500,9000,sales,Babies
7166,2028,8.85E+12,cussons baby oil soft 200ml,7,11400,15000,sales,Babies
7167,2029,8.85E+12,cussons baby oil mild 200ml,6,11400,15000,sales,Babies
7169,2032,6.16E+12,EXOTIC TANGAWIZI 320ML,0,833,1000,sales,Uncategorised
7170,2033,6.16E+12,FAMILY TEA BLACK TIN 250G,5,6250,7500,sales,Uncategorised
7171,2034,6.16E+12,FAMILY TEA BLACK TIN 500G,6,10708,14000,sales,Uncategorised
7173,2036,6.16E+12,GORILLOS BBQ BEEF 24G,28,390,500,sales,Snacks
7174,2037,6.16E+12,GORILLOS CHICKEN 24G,34,398,500,sales,Snacks
7175,2038,6.16E+12,GORILLOS CHILLI 24G,2,390,500,sales,Snacks
8140,2041,6.16E+12,KAKIRA SUGAR 1 KG,31,5000,5800,sales,Uncategorised
8141,3002,8.00E+12,SANTA LUCIA SPAGHETTINI 250G,47,1925,2200,sales,Uncategorised
8143,3004,6.16E+12,SALT 500G,44,500,700,sales,Uncategorised
8144,3005,6.17E+12,SENSODYNE EXTRA FRESH 75ML,0,8208,9500,sales,Uncategorised
8145,3006,6.17E+12,SENSODYNE FRESH MINT 75ML,0,8208,9500,sales,Uncategorised
8146,3007,6.16E+12,SILKEE TOILET TISSUE 10 ROLLS,9,16000,18500,sales,Uncategorised
8147,3008,6.16E+12,SILKEE TOLIET TISSUE PCS,69,1600,1800,sales,Uncategorised
8148,3009,6.16E+12,skin guard jelly 130g,11,2500,3000,sales,Skin Care
8149,3010,6.16E+12,SKINGUARD SANITISER 90ML,4,3442,4000,sales,Skin Care
8150,3011,6.16E+12,SKINGUARD SOAP120G,9,2500,3000,sales,Skin Care
8151,3012,6.16E+12,SKINGUARDHANDWASH300ML,3,3000,3500,sales,Skin Care
8154,3015,6.16E+12,SKYVIEW  ORANGE 320ML,9,800,1000,sales,Uncategorised
8155,3017,6.16E+12,SUNSEED 1 L,8,10417,13000,sales,Uncategorised
8166,3029,6.16E+12,venus body lotion 200ml,5,3736,4500,sales,Skin Care
8167,3032,6.16E+12,venus body lotion blue400ml,4,7042,9000,sales,Skin Care
8168,3033,6.16E+12,versman cool lotion 200ml,1,5083,7000,sales,Skin Care
8169,3034,6.16E+12,versman sport lotion 200ml,2,5083,7000,sales,Skin Care
8172,3037,6.16E+12,ZESTA MIXED FRUIT JAM 500gms,1,7583,9000,sales,Uncategorised
